payload_id,event_type,event_recorded_at
36b0745d-1de0-4c7b-83ea-b50af86af5ef,EmailSent,2021-01-01T08:04:54Z
36b0745d-1de0-4c7b-83ea-b50af86af5ef,EmailUndelivered,2021-01-01T08:04:54Z
f8538880-7e57-40ff-9f6a-1aae9dafd392,EmailDelivered,2021-01-01T08:08:24Z
f8538880-7e57-40ff-9f6a-1aae9dafd392,EmailSent,2021-01-01T08:08:24Z
e766a351-e201-4a13-9bea-6257aa969757,EmailSent,2021-01-01T09:09:32Z
e766a351-e201-4a13-9bea-6257aa969757,EmailDelivered,2021-01-01T09:10:32Z
ba211355-9f43-4ce0-8dcb-3e487429f87f,EmailSent,2021-01-01T09:32:29Z
ba211355-9f43-4ce0-8dcb-3e487429f87f,EmailDelivered,2021-01-01T09:33:29Z
ba211355-9f43-4ce0-8dcb-3e487429f87f,EmailOpened,2021-01-01T09:34:29Z
97c1e374-4dd0-4a06-ba77-25f863780029,EmailSent,2021-01-01T10:03:33Z
97c1e374-4dd0-4a06-ba77-25f863780029,EmailDelivered,2021-01-01T10:03:33Z
651fca72-02c2-4d08-b0eb-93ad6186d669,EmailDelivered,2021-01-01T10:44:13Z
651fca72-02c2-4d08-b0eb-93ad6186d669,EmailSent,2021-01-01T10:44:13Z
c9d710a3-2938-44c6-a752-0093b01e2076,EmailSent,2021-01-01T11:06:12Z
c9d710a3-2938-44c6-a752-0093b01e2076,EmailUndelivered,2021-01-01T11:07:12Z
e8a01bac-8f49-465a-a64e-928d5e2a7e48,EmailSent,2021-01-01T11:36:36Z
e8a01bac-8f49-465a-a64e-928d5e2a7e48,EmailUndelivered,2021-01-01T11:37:36Z
31c11c9d-42b6-4721-bb86-5119c49eea45,EmailSent,2021-01-01T11:57:56Z
31c11c9d-42b6-4721-bb86-5119c49eea45,EmailUndelivered,2021-01-01T11:58:56Z
dc730bb5-123e-4ead-95d0-a9048746d5ab,EmailUndelivered,2021-01-01T12:33:53Z
dc730bb5-123e-4ead-95d0-a9048746d5ab,EmailSent,2021-01-01T12:33:53Z
9377a0ad-1cec-4541-9945-cd4f9b054e85,EmailDelivered,2021-01-01T13:34:08Z
9377a0ad-1cec-4541-9945-cd4f9b054e85,EmailSent,2021-01-01T13:34:08Z
ec0dfad6-fa15-41d5-a02a-f4c40c67fe46,EmailSent,2021-01-01T14:19:11Z
ec0dfad6-fa15-41d5-a02a-f4c40c67fe46,EmailDelivered,2021-01-01T14:19:11Z
fc7e3b47-6fce-400d-93f5-745efacaba6f,EmailSent,2021-01-01T15:00:45Z
fc7e3b47-6fce-400d-93f5-745efacaba6f,EmailDelivered,2021-01-01T15:01:45Z
43e64c31-25c1-4913-8947-ea18394a0c3d,EmailSent,2021-01-01T17:05:10Z
43e64c31-25c1-4913-8947-ea18394a0c3d,EmailDelivered,2021-01-01T17:06:10Z
